"source","test_type","df1","df2","test_comp","test_value","p_comp","reported_p","computed_p","raw","error","decision_error","one_tailed_in_txt","apa_factor"
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",0.471,"=",0.62,0.628170796451894,"F(2, 36) = 0.471, p = 0.62",TRUE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",1,36,"=",220.455,"=",1e-04,6.35352882893814e-17,"F(1, 36) = 220.455,p = 0.0001",TRUE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",8.582,"=",9e-04,0.000896039852399904,"F(2, 36) = 8.582,p = 0.0009",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",5.778,"=",0.006,0.00666421934513278,"F(2, 36) = 5.778, p = .006",TRUE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",6.763,"=",0.0032,0.003209567059246,"F(2,36) = 6.763,p = .0032",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",4.431,"=",0.019,0.01903836528443,"F(2,36) = 4.431, p = .019",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,36,"=",3.839,"=",0.0308,0.0308116972900699,"F(2,36) = 3.839, p = .0308",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",0.531,"=",0.5929,0.592678424663545,"F(2, 35) = .531, p = .5929",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",2.456,"=",0.1005,0.100433751418169,"F(2,35) = 2.456, p = .1005",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",1.089,"=",0.3477,0.347684533794872,"F(2,35) = 1.089, p = .3477",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",0.756,"=",0.4772,0.477053820448699,"F(2,35) = .756, p = .4772",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",3.17,"=",0.0543,0.0542884586034334,"F(2,35) = 3.17, p = .0543",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",3.153,"=",0.0551,0.0550757999543753,"F(2,35) = 3.153, p = .0551",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",0.665,"=",0.52,0.520650528455612,"F(2,35) = .665, p = .52",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",4.119,"=",0.024,0.0247481548812237,"F(2,35) = 4.119, p = .024",TRUE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",3.236,"=",0.0513,0.0513426911506961,"F(2, 35) = 3.236, p = .0513",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",5.328,"=",0.0095,0.00954944725198967,"F(2, 35) = 5.328,p = .0095",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",2.722,"=",0.0797,0.0796606775735719,"F(2,35) = 2.722, p = .0797",FALSE,FALSE,FALSE,1
"2011-11-LAB-lab.1.2.01bru.pdf","F",2,35,"=",3.274,"=",0.0497,0.0497237214081488,"F(2,35) = 3.274,p = .0497",FALSE,FALSE,FALSE,1
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,118,"=",403.14,"<",1e-04,7.25276271391215e-40,"F(1,118) = 403.14,p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,108,"=",92.88,"<",1e-04,3.1156843768936e-16,"F(1,108) = 92.88,p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,137,"=",225.75,"<",1e-04,9.25020672051376e-31,"F(1,137) = 225.75, p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",2,363,"=",11.88,"<",1e-04,1.00556659106503e-05,"F(2,363) = 11.88, p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,363,"=",613.37,"<",1e-04,5.36990032239638e-80,"F(1,363) = 613.37, p < 0.0001",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",2,363,"=",6.08,"=",0.0025,0.00252785849656682,"F(2,363) = 6.08, p = 0.0025",FALSE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,68,"=",64.63,"=",1e-04,1.85938782258593e-11,"F(1,68) = 64.63, p = 0.0001",TRUE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,68,"=",245.26,"=",1e-04,3.02036245643845e-24,"F(1,68) = 245.26, p = 0.0001",TRUE,FALSE,FALSE,0.61
"2011-13-LAB-lab.1.2.02lee.pdf","F",1,118,"=",25.13,"<",1e-04,1.90620810711381e-06,"F(1,118) = 25.13, p < 0.0001",FALSE,FALSE,FALSE,0.61
