"source","nr_p_values","nr_errors","nr_decision_errors","year","journal","mean_nr_p_values_year","mean_nr_errors_year","mean_nr_decision_errors_year","nr_p_values_year","nr_errors_year","nr_decision_errors_year"
"2000-00-LaS-caspers-2000-experiments-on-the-meaning-of-four-types-of-single-accent-intonation-patterns-in-dutch.pdf",17,0,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-01-LLT-03_02_collentine.pdf",8,3,0,2000,"LLT",6,1.5,0,12,3,0
"2000-01-LaS-christmann-mischo-2000-the-efficacy-of-communicative-fairness-and-rhetorical-aesthetics-in-contributions-to.pdf",10,3,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-02-LaS-colston-2000-comprehending-speaker-intent-in-rebuttal-analogy-use-the-role-of-irony-mapping-absurdity-comparison-and.pdf",5,0,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-03-LLT-03_02_laufer-hill.pdf",4,0,0,2000,"LLT",6,1.5,0,12,3,0
"2000-05-LaS-fowler-brancazio-2000-coarticulation-resistance-of-american-english-consonants-and-its-effects-on-transconsonantal.pdf",78,4,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-07-LSP-harwood-2000-sharp-lurking-incoherence-in-a-television-portrayal-of-an-older-adult.pdf",6,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-07-LaS-gussenhoven-rietveld-2000-the-behavior-of-h-_and-l_-under-variations-in-pitch-range-in-dutch-rising-contours.pdf",18,3,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-09-LaS-jordan-sergeant-2000-effects-of-distance-on-visual-and-audiovisual-speech-recognition.pdf",17,1,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-10-LSP-la-tourette-meeks-2000-perceptions-of-patronizing-speech-by-older-women-in-nursing-homes-and-in-the-community-impact-of.pdf",4,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-12-LSP-mulac-et-al-2000-female-and-male-managers-and-professionals-criticism-giving-differences-in-language-use-and-effects.pdf",6,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-12-LaS-most-et-al-2000-the-hebrew-vowel-system-raw-and-normalized-acoustic-data.pdf",7,0,0,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-13-LSP-ng-et-al-2000-communication-correlates-of-individualism-and-collectivism-talk-directed-at-one-or-more-addressees-in.pdf",2,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-14-LSP-ohama-et-al-2000-evaluations-of-hawaii-creole-english-and-standard-english.pdf",5,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-15-LSP-ruscher-hurley-2000-off-target-verbosity-evokes-negative-stereotypes-of-older-adults.pdf",5,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-15-LaS-schafer-et-al-2000-focus-and-the-interpretation-of-pitch-accent-disambiguating-embedded-questions.pdf",31,3,2,2000,"LaS",22.875,1.75,0.25,183,14,2
"2000-17-LSP-tusing-dillard-2000-the-psychological-reality-of-the-door-in-the-face-it-s-helping-not-bargaining.pdf",5,0,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-19-LSP-whaley-wagner-2000-rebuttal-analogy-in-persuasive-messages-communicator-likability-and-cognitive-responses.pdf",16,3,0,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2000-20-LSP-wilson-kunkel-2000-identity-implications-of-influence-goals-similarities-in-perceived-face-threats-and-facework-across.pdf",38,5,1,2000,"LSP",9.66666666666667,0.888888888888889,0.111111111111111,87,8,1
"2001-00-LLT-05_01_alseghayer.pdf",3,0,0,2001,"LLT",3,0,0,3,0,0
"2001-00-LaS-bortfeld-et-al-2001-disfluency-rates-in-conversation-effects-of-age-relationship-topic-role-and-gender.pdf",25,5,1,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-02-LSP-beaumont-et-al-2001-similarities-and-differences-in-mother-daughter-and-mother-son-conversations-during-preadolescence.pdf",16,1,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-02-LaS-carlson-2001-the-effects-of-parallelism-and-prosody-in-the-processing-of-gapping-structures.pdf",33,1,0,2001,"LaS",15,1.42857142857143,0.285714285714286,105,10,2
"2001-03-LSP-corrigan-2001-implicit-causality-in-language-event-participants-and-their-interactions.pdf",4,0,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-04-LSP-girbau-2001-children-s-referential-communication-failure-the-ambiguity-and-abbreviation-of-message.pdf",3,0,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-05-LSP-howe-mcwilliam-2001-peer-argument-in-educational-settings-variations-due-to-socioeconomic-status-gender-and-activity.pdf",10,0,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-06-LSP-hummert-mazloff-2001-older-adults-responses-to-patronizing-advice-balancing-politeness-and-identity-in-context.pdf",9,2,0,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-07-LSP-kalbfleisch-2001-deceptive-message-intent-and-relational-quality.pdf",14,1,1,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
"2001-08-LSP-li-2001-cooperative-and-intrusive-interruptions-in-inter-and-intracultural-dyadic-discourse.pdf",9,3,2,2001,"LSP",13.3076923076923,1.61538461538462,0.384615384615385,173,21,5
